fragen_id,name,frage,falsche_antwort1,falsche_antwort2,falsche_antwort3,richtige_antwort,aufloesung
15,Wartezeit,"Wie lange müsstest du nun warten?","3 Tage","Bis im Kessel die ersten Pflanzen gewachsen sind.","24 Stunden","1 Stunde","Richtig, damit aus Wasser und Malz Maische entsteht, müssen beide Zutaten eine Stunde lang bei ca. 70°C gehalten werden."
16,Getreidesorten,"Welches Getreide darf NICHT ins deutsche Bier?",Gerste,Weizen,Roggen,Mais,"Richtig. Laut dem Reinheitsgebot von 1516 dürfte sogar nur Gerste ins Bier. Weizen und Roggen waren den Bäckern vorbehalten."
17,"2. Zeitsprung","Wie lange muss nun gewartet werden?","1 Minute","24 Stunden","2 Tage","1 Stunde","Richtig. Der Prozess des sogenannten Hopfenkochens dauert meist ca. 1 Stunde."
18,"3. Wartezeit","Wie lange muss das Bier nun Gären?","Bis der Durst zu groß wird.","Bis zum nächsten Vollmond.","2-3 Stunden.","Je nach gewünschter Biersorte 2-3 Wochen.","Richtg. Durst und Vollmond sind natürlich Quatsch und 2-3 Stunden auch viel zu kurz. Meistens benötigt die Hefe 8-12 Stunden um überhaupt erstmal in die Gänge zu kommen."
20,"Pils - Wasserhärte","Was ist bei dem Brauen von Pils bei der Wasserauswahl besonders zu beachten?","Dass es genügend Kalk enthält.","Dass es bereits mit Kohlensäure versetzt wurde.","Dass es salzig ist.","Dass das Wasser weich genug ist.","Bei Pils achten Brauereien besonders gut darauf nur weiches Wasser zu verwenden, da es geschmacklich eine große Rolle spielt."
21,"1. Wartezeit","Wie lange muss der Braumeister nun warten bis Maische entstanden ist?","5 Minuten","10 Minuten","2 Stunden","1 Stunde","Richtig. Abermals muss man eine gute Stunde warten, bis die Stärke des Malzes in Zucker umgewandelt wurde."
22,Hopfenfrage,"Mit welchen Pflanzen ist Hopfen am nähesten verwandt?",Tomaten,Nadelbäume,Birnen,Cannabis,"Hopfen gehört genau wie Cannabis zur Familie der Hanfgewächse."
23,"2. Wartezeit","Wie lange soll die Bierwürze nun vor sich hin kochen?","2 Tage","7 Stunden","5 Stunden","1 Stunde","Abermals genügt eine Stunde Hopfenkochen völlig aus um die gewünschten Ergebnisse zu erzielen."
24,"Pils als Untergäriges Bier","Was bedeutet untergäriges Bier?","Es muss unter der Erde gebraut werden.","Es sollte in einem noch gärenden Zustand konsumiert werden.","Bei der Gärung muss permanent verrührt werden.","Die Hefe gärt nicht oben auf dem Bier sondern unter der Oberfläche.","Richtig. Da bei untergärigen Bieren die Hefe bei kälteren Temperaturen (8-12°C) zugegeben wird, schwimmt sie nicht auf der Oberfläche sondern darunter."
25,Deckelfrage,"Warum wird der Kessel verschlossen?","Das Prinzip gleicht dem eines Schnellkochtopfes.","Damit es weniger Sauerei gibt.","Um das Bier vor Licht zu schützen.","Damit sich Kohlensäure im Bier lösen kann.","Durch den höheren Druck und das durch die Gärung austretende CO2 entsteht Kohlensäure. Doch Vorsicht ist geboten. Wird der Deckel zu früh geschlossen, kann das System explodieren."
