zutat_id,beschreibung,name,bild
27,"Keine Getränke ohne Wasser. Deshalb dient beim Brauen auch Wasser als Basis.",Wasser,Wasser.png
28,"Malz wird aus Getreide gemacht und dient als Zuckerquelle für die Alkoholbildung. Zunächst muss jedoch in Wasser die im Malz enthaltene Stärke bei mittleren Temperaturen in Zucker umgewandelt werden. Dieser Vorgang dauert ca. eine Stunde.",Malz,Malz.png
29,"Das Thermometer erhöht die Temperatur in dem Kessel. Wirf es dazu einfach zu den anderen Zutaten in die Öffnung. Dieses Thermometer erhöht die Temperatur auf 69°C",69°C,Temperatur69.png
33,"Hopfen verleiht dem Bier seinen charakteristischen, leicht bittren Geschmack. Außerdem macht er das Bier lange haltbar. Nach der Gewinnung von Bierwürze aus Malz und Wasser wird Hopfen in die kochende Würze gegeben.",Hopfen,Hopfen.png
34,"Dieses Thermometer erhöht die Temperatur auf über 100°C und sorgt so für ein wallendes Kochen.",100°C,Temperatur102.png
36,"Dieses Thermometer lässt die Temperatur auf Zimmertemperatur herabkühlen..",20°C,Temperatur19.png
37,"Die Hefe ist für den Umbau von Zucker in Alkohol zuständig. Beachte jedoch, dass Hefen Lebewesen sind. Lass sie nicht heiß werden.",Hefe,Hefe.png
38,"Wasser ist nach wie vor ein elementarer Bestandteil bei dem Brauprozess. Bei Pils ist die Wasserhärte (bzw. Wasserweiche) besonders wichtig.",Wasser,Wasser.png
39,"Für Pils wird das sogenannte Pilsner Malz verwendet. Dies wird ausschließlich aus Gerste gewonnen und steckt in zahlreichen hellen Bieren.",Malz,Malz.png
40,"Erhöht die Temperatur im Kessel auf 69°C.",69°C,Temperatur69.png
42,"Wird benutzt um die festen Bestandteile aus der Maische herauszufiltern. Dieser Prozess wird auch Läutern genannt und ist wichtig um aus Getreidebrei ein Getränk entstehen zu lassen.",Sieb,Sieb.png
43,"Erhöht die Temperatur im Kessel auf über 100°C",100°C,Temperatur102.png
44,"Bevor man sich durch das Reinheitsgebot auf Hopfen als eine der Grundzutaten im Bier einigte, verwendeten Braumeister auch alle möglichen Arten von heimischen Kräutern um dem Bier seinen Geschmack und die Haltbarkeit zu geben.",Hopfen,Hopfen.png
46,"Durch anlegen des Deckels steigt durch freiwerdendes CO2 der Druck im Braukessel",Deckel,Deckel.png
48,"Die Temperatur wird auf unter 12°C herabgesenkt.",12°C,Temperatur12.png
49,"Hefe ist nach wie vor Hitzeempfindlich. Pass auf!",Hefe,Hefe.png
